#   Step          Temp          Press            Lx             Ly             Lz             Xy             Xz             Yz      
    286000   301.14489     -511.81069      93.312452      38.024347      41.524181      0              0              0            
    287000   300.04815      29.256522      93.28295       38.012325      41.511052      0              0              0            
    288000   299.73762     -279.29073      93.251105      37.999348      41.496881      0              0              0            
    289000   300.37345     -281.87224      93.329046      38.031108      41.531565      0              0              0            
    290000   299.07202      863.63727      93.315741      38.025687      41.525645      0              0              0            
    291000   301.23885     -191.44405      93.320069      38.02745       41.52757       0              0              0            
    292000   299.34536      324.14271      93.341402      38.036144      41.537064      0              0              0            
    293000   300.8358      -136.51834      93.30844       38.022712      41.522396      0              0              0            
    294000   298.39069     -720.45098      93.357054      38.042521      41.544029      0              0              0            
    295000   301.65107     -7.3811011      93.306237      38.021814      41.521415      0              0              0            
    296000   296.25683     -1311.2389      93.235875      37.993142      41.490104      0              0              0            
    297000   300.37909      122.00709      93.299693      38.019147      41.518503      0              0              0            
    298000   295.93193      580.2737       93.248595      37.998325      41.495765      0              0              0            
    299000   300.03135      33.987692      93.312628      38.024418      41.524259      0              0              0            
    300000   300.26975      815.7106       93.196842      37.977236      41.472734      0              0              0            
    301000   296.76055      507.30849      93.267549      38.006049      41.504199      0              0              0            
    302000   300.83202      131.74744      93.291457      38.015791      41.514838      0              0              0            
    303000   305.90229     -49.160813      93.384422      38.053674      41.556208      0              0              0            
    304000   298.91459     -153.9367       93.272074      38.007893      41.506213      0              0              0            
    305000   300.26955     -154.17505      93.320543      38.027643      41.527781      0              0              0            
    306000   300.80081     -232.12617      93.334192      38.033205      41.533855      0              0              0            
    307000   297.79468      759.07823      93.316251      38.025895      41.525871      0              0              0            
    308000   299.16832     -394.48082      93.311094      38.023793      41.523577      0              0              0            
    309000   302.39036     -230.27242      93.284343      38.012892      41.511672      0              0              0            
    310000   300.83256     -218.0617       93.302041      38.020104      41.519548      0              0              0            
    311000   298.16724     -213.48779      93.273695      38.008553      41.506934      0              0              0            
    312000   298.19392     -232.72083      93.306672      38.021991      41.521609      0              0              0            
    313000   301.9878       71.240668      93.3453        38.037732      41.538798      0              0              0            
    314000   299.03708     -72.097572      93.329399      38.031252      41.531722      0              0              0            
    315000   296.12008      752.60259      93.294011      38.016832      41.515975      0              0              0            
    316000   302.92253      896.10416      93.308364      38.022681      41.522362      0              0              0            
    317000   301.25709     -125.09085      93.313923      38.024946      41.524835      0              0              0            
    318000   301.05502      136.52186      93.315941      38.025768      41.525734      0              0              0            
    319000   302.27474      375.71692      93.320447      38.027604      41.527738      0              0              0            
    320000   300.22027      336.71873      93.26495       38.00499       41.503042      0              0              0            
    321000   300.63387      603.93136      93.270378      38.007202      41.505458      0              0              0            
    322000   303.38129      928.70811      93.329369      38.03124       41.531709      0              0              0            
    323000   299.64586     -833.08185      93.203491      37.979946      41.475693      0              0              0            
    324000   302.68339      650.98351      93.402749      38.061142      41.564363      0              0              0            
    325000   297.58268      896.52421      93.277623      38.010154      41.508682      0              0              0            
    326000   301.50248     -439.30627      93.355317      38.041814      41.543256      0              0              0            
    327000   301.50194     -152.3078       93.289289      38.014908      41.513873      0              0              0            
    328000   299.0972      -213.25578      93.296157      38.017707      41.51693       0              0              0            
    329000   303.06022     -64.041121      93.254374      38.00068       41.498336      0              0              0            
    330000   298.64423      11.70031       93.318446      38.026789      41.526848      0              0              0            
    331000   300.21985      94.357875      93.349078      38.039272      41.54048       0              0              0            
    332000   302.88702     -287.57478      93.308074      38.022563      41.522233      0              0              0            
